id,symbol,side,pattern,signal,setup,aoi_kind,trend,entry_index,exit_index,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,planned_rr,entry_cash,entry_equity,margin,notional,pnl,pnl_pct,account_pct,margin_return_pct,exit_reason,score
1,AUDUSD=X,long,alexg5|AUDUSD|NZD>JPY|bullish|bounce|support|rejection|NZD:+0.0043|EUR:+0.0028|AUD:+0.0023|USD:+0.0005|g:98:0.64286774:0.64263409:0.64333504,rejection,bounce,support,bullish,99,100,2023-09-25 03:00:00+00:00,2023-09-25 04:00:00+00:00,0.6426340937614441,0.6425055669426918,0.6425055669426918,0.6432767278552056,5.0,1000.0,1000.0,10.0,50000.0,-10.0,-0.00020000000000002655,-0.01,-1.0,margin_stop,5.0
2,NZDUSD=X,short,alexg5|NZDUSD|USD>CHF|bearish|continuation|support|momentum|USD:+0.0043|JPY:-0.0006|NZD:-0.0008|CAD:-0.0008|g:126:0.59495479:0.59610075:0.59266287,momentum,continuation,support,bearish,128,129,2023-09-26 08:00:00+00:00,2023-09-26 09:00:00+00:00,0.5961007475852966,0.5962199677348137,0.5962199677348137,0.5955046468377114,5.0,990.0,990.0,9.9,49500.0,-9.9,-0.000199999999999969,-0.01,-1.0,margin_stop,5.0
3,NZDUSD=X,short,alexg5|NZDUSD|USD>AUD|bearish|continuation|support|momentum|USD:+0.0040|CAD:+0.0014|GBP:+0.0013|JPY:-0.0001|g:166:0.59182101:0.59278107:0.58990091,momentum,continuation,support,bearish,168,169,2023-09-28 00:00:00+00:00,2023-09-28 01:00:00+00:00,0.5927810668945312,0.5928996231079101,0.5928996231079101,0.5921882858276369,5.0,980.1,980.1,9.801,49005.0,-9.801,-0.0001999999999999254,-0.01,-1.0,margin_stop,5.0
4,USDJPY=X,long,alexg5|USDJPY|GBP>EUR|bullish|bounce|support|bullish_engulfing|GBP:+0.0039|CAD:+0.0017|USD:+0.0007|NZD:+0.0005|g:176:149.37800598:149.21301270:149.70799255,bullish_engulfing,bounce,support,bullish,177,180,2023-09-28 09:00:00+00:00,2023-09-28 12:00:00+00:00,149.2130126953125,149.18317009277345,149.18317009277345,149.36222570800774,5.0,970.299,970.299,9.703,48514.95,-9.703,-0.00019999999999990522,-0.01,-1.0,margin_stop,5.0
5,NZDUSD=X,long,alexg5|NZDUSD|NZD>CAD|bullish|bounce|support|rejection|NZD:+0.0052|EUR:+0.0014|AUD:+0.0010|USD:+0.0004|g:216:0.59970015:0.59845380:0.60499728,rejection,bounce,support,bullish,220,221,2023-10-02 05:00:00+00:00,2023-10-02 06:00:00+00:00,0.5984538019299507,0.5990522557318806,0.5983341111695647,0.5990522557318806,5.0,960.596,960.596,9.606,48029.8005,48.0298,0.0009999999999999324,0.049999999999996624,4.999999999999662,take_profit,5.0
6,USDCHF=X,short,alexg5|USDCHF|CHF>USD|bearish|continuation|support|momentum|CHF:+0.0079|AUD:+0.0053|GBP:+0.0037|NZD:+0.0033|g:273:0.91501999:0.91709498:0.91087002,momentum,continuation,support,bearish,275,276,2023-10-04 14:00:00+00:00,2023-10-04 15:00:00+00:00,0.9170949757099152,0.9172783947050571,0.9172783947050571,0.9148022382706407,12.5,1008.6258,1008.6258,10.0863,50431.2905,-10.0863,-0.00019999999999997442,-0.01,-1.0,margin_stop,12.5
7,NZDUSD=X,short,alexg5|NZDUSD|GBP>CAD|bearish|continuation|support|momentum|GBP:+0.0023|CHF:+0.0019|AUD:+0.0009|EUR:+0.0005|g:277:0.58906692:0.58988011:0.58744055,momentum,continuation,support,bearish,278,279,2023-10-04 15:00:00+00:00,2023-10-04 16:00:00+00:00,0.589880108833313,0.5899980848550797,0.5899980848550797,0.588110468506813,15.0,998.5396,998.5396,9.9854,49926.9776,-9.9854,-0.0002000000000000018,-0.01,-1.0,margin_stop,15.0
8,USDCHF=X,short,alexg5|USDCHF|CHF>USD|bearish|continuation|support|momentum|CHF:+0.0066|AUD:+0.0053|GBP:+0.0027|NZD:+0.0018|g:285:0.91491997:0.91694495:0.91087002,momentum,continuation,support,bearish,292,293,2023-10-05 07:00:00+00:00,2023-10-05 08:00:00+00:00,0.9169449508190155,0.9171283398091793,0.9171283398091793,0.9137356434911492,17.5,988.5542,988.5542,9.8855,49427.7078,-9.8855,-0.00019999999999998662,-0.01,-1.0,margin_stop,17.5
9,AUDUSD=X,long,alexg5|AUDUSD|NZD>JPY|bullish|continuation|resistance|momentum|NZD:+0.0039|AUD:+0.0027|GBP:+0.0019|EUR:+0.0016|g:313:0.63812137:0.63671032:0.64094347,momentum,continuation,resistance,bullish,316,317,2023-10-06 05:00:00+00:00,2023-10-06 06:00:00+00:00,0.6367103159427643,0.6365829738795757,0.6365829738795757,0.6392571572065351,20.0,978.6686,978.6686,9.7867,48933.4308,-9.7867,-0.0001999999999999802,-0.01,-1.0,margin_stop,20.0
10,EURUSD=X,long,alexg5|EURUSD|NZD>USD|bullish|continuation|resistance|momentum|NZD:+0.0094|AUD:+0.0064|CHF:+0.0057|CAD:+0.0031|g:301:1.05329680:1.05047146:1.06112051,momentum,continuation,resistance,bullish,323,324,2023-10-06 12:00:00+00:00,2023-10-06 13:00:00+00:00,1.0504714615345,1.0502613672421932,1.0502613672421932,1.0551985831114052,22.5,968.8819,968.8819,9.6888,48444.0965,-9.6888,-0.00019999999999999513,-0.009999999999999998,-1.0,margin_stop,22.5
